Species,Order,Family,Year,Longitude,Latitude,Site,Country,Density (Ind/km2),Method,Mass (g),Diet,Continent,Accessibility_1deg,Human Footprint_1deg,Night Lights_1deg,Cropland_1deg,Pasture_1deg,Human Population Density_1deg,NDVI_1deg,Species Richness_1deg,Accessibility_1km,Human Footprint_1km,Night Lights_1km,Cropland_1km,Pasture_1km,Human Population Density_1km,NDVI_1km,Night Lights_50km,Cropland_50km,Pasture_50km,Human Population Density_50km,NDVI_50km,Accessibility_50km,Human Footprint_50km,Species Richness_50km,Accessibility_10km,Human Footprint_10km,Night Lights_10km,Cropland_10km,Pasture_10km,Human Population Density_10km,NDVI_10km,Species Richness_10km,Accessibility_10kmBuff,Human Footprint_10kmBuff,Night Lights_10kmBuff,Cropland_10kmBuff,Pasture_10kmBuff,Human Population Density_10kmBuff,NDVI_10kmBuff,Species Richness_10kmBuff
Aepyceros melampus,Cetartiodactyla,Bovidae,1990,31.54,-2.46,Biharamulo-Burigi GRs & surrounds,Tanzania,1.501,Census,52500.08,Herbivore,Africa,356,8.649,0.037,16.168,21.711,68.272,0.571,122.672,642,6.255,0,0.334,0.447,4.054,0.617,0.009,11.786,19.149,41.703,0.569,488,7.104,132.687,371,6.255,0,5.501,11.049,17.616,0.617,132.687,424.5,8.534,0,5.501,11.049,17.616,0.605,133.182
Aepyceros melampus,Cetartiodactyla,Bovidae,1990,35.81,-3.51,Lake Manyara NP,Tanzania,6.818,Census,52500.08,Herbivore,Africa,379,7.468,0.087,9.275,24.665,48.721,0.42,148.166,148,3.219,0,2.628,8.646,17.251,0.354,0.032,10.677,26.377,49.064,0.431,250,8.758,153.485,165,3.219,0,8.471,16.166,36.759,0.336,153.485,194.286,7.787,0.059,9.311,21.845,46.886,0.372,153.443
Aepyceros melampus,Cetartiodactyla,Bovidae,1990,35.093,-1.512,,Kenya,5.924,,52500.08,Herbivore,Africa,530,6.748,0.05,6.871,25.721,53.387,0.498,157.698,649,4.661,0,0,0,4.399,0.509,0.009,11.82,26.172,101.276,0.498,445,6.429,157.384,534,4.661,0.005,0.006,0,8.251,0.511,157.384,495,5.003,0.003,0.225,2.198,9.096,0.508,157.75
Alcelaphus buselaphus,Cetartiodactyla,Bovidae,1990,35.574,-3.17,,Tanzania,0.453,,171001.5,Herbivore,Africa,379,7.468,0.104,8.24,18.111,32.644,0.42,148.166,295,9.25,0,0,0,2.056,0.55,0.057,4.618,10.65,18.989,0.487,525,6.745,155.449,254,9.25,0.02,0,0,2.326,0.621,155.449,NA,NA,0.02,0,0,2.326,NA,NA
Alcelaphus buselaphus,Cetartiodactyla,Bovidae,1990,35.093,-1.512,,Kenya,0.693,,171001.5,Herbivore,Africa,530,6.748,0.05,6.871,25.721,53.387,0.498,157.698,649,4.661,0,0,0,4.399,0.509,0.009,11.82,26.172,101.276,0.498,445,6.429,157.384,534,4.661,0.005,0.006,0,8.251,0.511,157.384,534,5.654,NA,0.006,0,8.251,0.511,157.384
Alcelaphus buselaphus,Cetartiodactyla,Bovidae,1990,35.574,-3.17,,Tanzania,0.453,,171001.5,Herbivore,Africa,379,7.468,0.104,8.24,18.111,32.644,0.42,148.166,295,9.25,0,0,0,2.056,0.55,0.057,4.618,10.65,18.989,0.487,525,6.745,155.449,254,9.25,0.02,0,0,2.326,0.621,155.449,NA,NA,0.02,0,0,2.326,NA,NA
Alcelaphus lichtensteinii,Cetartiodactyla,Bovidae,1990,31.54,-2.46,Biharamulo-Burigi GRs & surrounds,Tanzania,0.049,Census,168695.7,Omnivore,Africa,356,8.649,0.037,16.168,21.711,68.272,0.571,122.672,642,6.255,0,0.334,0.447,4.054,0.617,0.009,11.786,19.149,41.703,0.569,488,7.104,132.687,371,6.255,0,5.501,11.049,17.616,0.617,132.687,NA,NA,0,5.501,11.049,17.616,NA,NA
Alces alces,Cetartiodactyla,Cervidae,1990,-142.02,62.708,,United States,0.14,,356998.2,Herbivore,North America,899,1.077,0.022,0,0,0.194,0.311,35.652,901,0.475,0,0,0,0.121,0.346,0.02,0,0,0.048,0.329,830,0.882,34.864,866,0.475,0,0,0,0.053,0.346,34.864,NA,0.458,NA,NA,NA,NA,NA,NA
Alouatta caraya,Primates,Atelidae,1990,-58.217,-25.9,Riacho Pilaga,Argentina,9.2,Distance_sampling,5862.461,Herbivore,South America,341,9.223,0.801,1.796,5.546,43.956,0.659,77.657,423,7.252,0,0.422,0.334,3.111,0.649,0.542,0.847,5.938,26.046,0.646,326,8.154,77.621,418,7.252,0.007,0.481,0.379,3.573,0.658,77.621,354.25,8.445,0.06,0.546,2.119,4.034,0.645,78.434
Alouatta palliata,Primates,Atelidae,1990,-84.917,9.833,Silvestre Curu,Costa Rica,9,Distance_sampling,7274.95,Herbivore,North America,NA,14.065,6.05,NA,NA,NA,0.74,53.538,NA,NA,3.839,NA,NA,NA,0.729,2.767,6.715,19.677,33.424,0.726,NA,NA,81.863,NA,NA,1.52,2.902,8.866,8.416,0.74,81.863,339.75,18.122,1.427,2.359,7.173,56.859,0.713,43.229
